longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,distance_to_coast,distance_to_la,distance_to_sandiego,distance_to_sanjose,distance_to_sanfrancisco,median_house_value
-121.77,37.99,4.0,5623.0,780.0,2429.0,716.0,5.4409,6761.44006083107,540540.238670767,719944.806836088,73580.5704410605,62812.2742891814,2
-120.39,36.78,11.0,1947.0,488.0,2104.0,486.0,1.7184,124834.642638094,360290.99619543,539602.927586994,146979.349000915,211738.877811884,0
-118.1,33.96,36.0,1184.0,240.0,946.0,232.0,4.0357,23967.0083800698,16751.1693407288,163552.258251055,508175.46793488,576207.95692526,2
-118.2,33.87,26.0,703.0,202.0,757.0,212.0,2.525,13726.0447874907,20660.2173065992,160613.475740125,509774.221711419,577770.551516595,1
-120.66,35.2,13.0,5138.0,713.0,1838.0,645.0,5.9676,6358.99684786406,255272.192598888,424732.837016635,261917.343718437,327080.568911901,4
-122.45,37.71,52.0,1658.0,322.0,1086.0,326.0,3.8583,6286.13703814969,555779.881965123,734062.271410993,64396.9210632792,7300.99226984191,3
-122.23,37.76,52.0,1049.0,185.0,374.0,176.0,4.1458,3184.13439059525,546577.928778623,725359.890894376,55774.4676621433,17762.1760882547,3
-120.83,38.74,17.0,3685.0,775.0,1714.0,734.0,2.2269,97252.2406993772,570273.583196984,747084.687805716,181814.772436099,176310.770053774,1
-121.61,36.69,19.0,9899.0,2617.0,11272.0,2528.0,2.0244,16719.1808796153,423250.403863841,600421.37357659,76046.1263879637,140764.014600358,1
-121.47,38.55,48.0,968.0,310.0,706.0,274.0,0.9948,53575.5986508823,577581.50043177,756409.278223426,140050.130972289,120454.322106128,0
-117.08,32.63,30.0,2504.0,559.0,1827.0,490.0,2.6146,5782.38740403041,191556.248403029,12185.6576200944,682447.12442208,750414.224877245,2
-122.33,38.29,14.0,3541.0,499.0,1577.0,459.0,5.3351,17065.2666134196,597000.006740364,776295.357130293,112865.567512842,58061.5302147477,3
-117.97,33.89,15.0,3801.0,542.0,1992.0,526.0,9.0683,21272.8327703274,31022.336436761,150665.306438304,521952.026774397,589987.032719514,4
-118.44,34.03,37.0,1193.0,205.0,488.0,224.0,3.625,6260.48253197651,18256.8574205014,188305.603526378,481956.246785759,549924.08852105,4
-116.53,33.84,28.0,8399.0,1839.0,3470.0,1340.0,2.5885,105873.580214108,159825.486036503,138092.772652046,621300.91028364,688610.491679529,2
-119.05,35.34,17.0,2387.0,437.0,1204.0,423.0,4.0529,114380.68692362,161051.57962484,339761.206802683,337729.563028712,405481.94436788,0
-121.91,37.36,42.0,3224.0,708.0,1940.0,674.0,3.2153,19335.6532630569,494752.289986575,673299.409490894,3112.00790169175,65037.6957425898,2
-117.91,33.91,32.0,1530.0,301.0,666.0,276.0,4.125,26160.4516733072,34594.3103974821,149924.672153577,523999.952285602,592032.727685651,3
-118.02,34.08,31.0,2402.0,632.0,2830.0,603.0,2.3333,38889.650896619,20834.1174098796,171375.87963257,503217.951657987,571242.038338551,2
-116.83,32.81,18.0,2367.0,402.0,1021.0,395.0,4.8125,28400.9913115247,190494.106624935,32684.7915395004,682055.46594825,750090.494889095,3
-122.27,37.87,35.0,3218.0,1108.0,1675.0,1000.0,1.7464,6303.6694598177,558022.758861459,736926.696789548,68084.3108096702,17740.7664955911,3
-117.02,34.88,18.0,2127.0,443.0,1168.0,401.0,3.0313,161443.998165928,145107.309522435,241007.942824978,515825.875218213,581685.501913,0
-122.18,37.76,37.0,1575.0,358.0,933.0,320.0,2.2917,4842.76186584122,543633.93563092,722492.29756285,53556.7171251089,22143.6895833956,0
-122.33,37.39,52.0,573.0,102.0,232.0,92.0,6.2263,7180.21747332135,523175.259053377,700834.879042643,39091.9451260205,43618.8464824764,4
-118.35,34.16,42.0,2267.0,478.0,1083.0,458.0,3.2015,21410.4889327166,15472.750111144,194832.006369639,476271.760651152,544300.374278902,3
-122.16,38.02,40.0,1800.0,290.0,761.0,277.0,5.1265,5092.0305034076,564370.772062861,743583.21216817,79658.8021085831,36264.1920895447,2
-117.25,32.79,25.0,1627.0,375.0,735.0,378.0,3.6429,2647.06747159436,167938.448398504,11718.6599613458,658619.951221923,726581.397960548,4
-118.21,34.07,47.0,1346.0,383.0,1452.0,371.0,1.7292,27911.4896153544,3678.26496375455,179327.062379132,492295.517753081,560328.521027914,2
-122.54,37.96,44.0,1552.0,204.0,596.0,208.0,10.129,4016.73862590006,581367.995200532,760018.021381871,89815.4531614866,22780.1707076012,4
-118.47,34.01,41.0,2704.0,557.0,1047.0,478.0,4.4211,3436.21912096878,21377.5626978011,188379.258341837,481937.241169257,549882.594693935,4
-122.3,38.32,20.0,2063.0,486.0,1045.0,460.0,2.5035,20726.9652824127,597951.14777911,777282.144596061,115160.722735049,61794.5044253677,1
-123.41,40.61,17.0,769.0,205.0,301.0,126.0,1.7875,68196.59582583,860054.202358005,1039129.42575398,386987.475031083,326429.75987495,0
-118.06,34.1,38.0,3229.0,636.0,1599.0,609.0,3.8646,39964.3717196873,17731.716308103,175081.762974872,499082.72090058,567109.377890613,3
-117.08,32.73,36.0,1158.0,218.0,619.0,233.0,3.6125,10471.0181926386,182447.830704953,7749.55244257812,673793.548492934,741787.334919577,1
-122.29,40.47,20.0,2858.0,612.0,1422.0,589.0,1.9657,151474.941945174,798186.114907522,975816.581150749,350230.167719946,300032.196706547,0
-118.3,33.77,18.0,3821.0,795.0,2831.0,769.0,2.9571,3527.21597013652,31810.4952704212,157987.907889589,512582.312828136,580495.495456502,4
-117.2,33.72,16.0,5373.0,1079.0,1573.0,933.0,1.9912,53317.642772313,103180.039314346,111727.714244332,584636.922925629,652530.911711302,0
-118.63,34.18,33.0,5252.0,760.0,2041.0,730.0,6.7977,16375.4097648174,38296.3982901076,212322.796966314,457974.845101782,525923.80408406,4
-123.19,39.21,22.0,1542.0,291.0,821.0,285.0,3.5917,46964.3013069965,723423.552833593,902765.918548542,237194.846532508,172791.292588485,1
-117.12,32.75,17.0,2060.0,633.0,1251.0,602.0,1.9886,9124.06730047662,178457.890438537,5411.64368253052,669707.099894554,737695.709572273,1
-121.77,37.74,25.0,494.0,81.0,254.0,85.0,9.1531,33031.7496575636,518598.446232545,697894.584524095,46270.0996289702,58258.6586799093,4
-118.32,34.09,34.0,1478.0,675.0,1976.0,653.0,2.0557,18959.7452425436,8188.15942599098,186877.421937113,483960.451287958,551982.328714556,3
-118.07,33.72,32.0,1179.0,250.0,369.0,209.0,5.1824,1001.74777466753,40271.6868668775,140066.010517032,530279.88274108,598269.870848059,4
-122.11,37.66,36.0,1755.0,316.0,913.0,299.0,4.1302,5640.00812486036,531249.873169918,710044.815894093,40847.363405537,30972.635496103,2
-117.47,34.06,33.0,1379.0,273.0,884.0,229.0,2.7574,65032.426812995,71279.6986687552,152201.737830916,540410.511743735,608225.480641646,1
-117.29,34.15,42.0,1811.0,345.0,856.0,352.0,2.9667,82118.8111987887,88480.2763260089,159930.844496936,545801.963877278,613404.323680554,0
-121.26,38.66,19.0,3170.0,444.0,1344.0,452.0,6.1183,71044.6658560167,579106.82955044,757356.381537204,157377.965636615,142045.113903097,3
-120.09,36.19,12.0,1923.0,559.0,2809.0,535.0,1.4191,112089.297453325,291023.636695676,470431.800916836,204981.835020002,272510.577122622,0
-122.49,38.27,8.0,5092.0,988.0,1657.0,936.0,3.5625,16279.9844119806,604221.023730287,783373.166775598,116399.251475121,55394.9770557491,3
-122.29,38.4,28.0,2024.0,340.0,844.0,309.0,4.7833,29654.1097232824,604379.901225725,783751.771965532,123391.438469545,70700.9724370058,4
-122.43,37.72,52.0,2206.0,478.0,1583.0,456.0,3.7105,4205.46078758915,555353.520947146,733699.375673869,63799.3097531414,6002.49594518739,3
-122.25,37.83,52.0,1279.0,287.0,534.0,291.0,3.1429,5981.93628131735,553535.53485847,732405.035422692,63349.4750379013,17103.5609998378,3
-121.53,39.53,35.0,1806.0,293.0,683.0,295.0,4.5156,161008.94365562,675615.703999986,853002.341768153,246059.017003949,210359.887687188,0
-117.08,32.78,21.0,2919.0,496.0,984.0,443.0,4.625,14108.4938495399,177979.32977061,10419.7175001692,669493.968844344,737498.802958286,3
-122.49,37.69,36.0,1344.0,258.0,782.0,265.0,4.5,4239.23414483472,556656.713967259,734806.927626741,65775.4721305181,10669.3694122488,3
-121.57,39.16,21.0,1872.0,302.0,870.0,301.0,3.725,119750.930702223,640757.299243948,818884.380208497,204828.624886219,171390.913540162,0
-118.02,34.08,29.0,2741.0,667.0,2449.0,677.0,3.6944,38889.650896619,20834.1174098796,171375.87963257,503217.951657987,571242.038338551,2
-118.28,34.07,24.0,3247.0,1281.0,2642.0,1182.0,2.4632,21647.4516508401,3885.13121666579,182936.991599053,488051.787177916,556076.880894627,3
-122.44,37.8,52.0,3830.0,,1310.0,963.0,3.4801,540.917689943995,562389.565893396,740893.792262351,70653.8012574847,2993.52502154157,4
-122.64,41.73,36.0,3319.0,664.0,1492.0,631.0,1.8694,122814.366047939,936498.69321193,1112939.76179582,492823.29005886,440251.480402852,0
-118.16,34.01,36.0,931.0,246.0,732.0,235.0,1.7679,27321.6973483965,9028.96330269828,171222.013847288,500347.475530915,568379.399632278,1
-117.18,34.06,52.0,954.0,233.0,533.0,239.0,1.3021,80775.1267100189,97993.9112793653,149485.649426659,560022.889820607,627633.148749458,0
-117.93,33.78,36.0,2169.0,359.0,1018.0,370.0,4.3906,15329.5465382849,41882.8099100044,138264.003490641,533573.820190392,601604.600418625,3
-120.65,38.5,10.0,1783.0,337.0,638.0,262.0,2.65,90975.8149798244,539504.389334231,716198.702239557,169279.776294675,175460.420320392,1
-117.1,32.71,9.0,1931.0,472.0,1628.0,445.0,2.085,7616.28891037487,183169.174845805,5750.67169056052,674340.383720435,742324.021378369,0
-118.24,34.13,37.0,1644.0,395.0,959.0,383.0,3.3636,27531.3972104337,8653.72194905851,186427.327295385,485471.272278915,553506.007250863,3
-120.06,39.09,30.0,2979.0,583.0,316.0,124.0,2.1987,171603.671284714,583145.373388103,755225.839454578,252393.295415764,253118.914636012,1
-117.85,33.79,40.0,1251.0,336.0,729.0,343.0,2.4688,21167.9678738647,46580.8480743029,135544.828894711,537626.61812144,605661.732539702,3
-117.98,33.66,26.0,3527.0,547.0,1615.0,542.0,6.1624,5179.2808038801,49950.7702638789,129735.840262699,540732.239339039,608731.013264793,3
-124.05,40.59,32.0,1878.0,340.0,937.0,353.0,3.4408,18600.6703199719,889512.178668935,1068905.20305358,407076.852038193,342786.420235486,0
-121.97,37.55,17.0,4924.0,1247.0,3080.0,1182.0,3.168,11703.2822308228,513907.264544238,692730.895160466,24802.5989115655,47634.5770683093,2
-119.06,36.15,20.0,1282.0,273.0,852.0,247.0,1.6354,184221.457327387,244793.788570918,419682.697767066,284760.089642145,349719.689669376,0
-118.42,34.16,28.0,4664.0,1040.0,1963.0,961.0,3.9028,17734.5067248232,20177.0596421932,198581.494874865,472057.650833981,540074.089985712,4
-122.56,38.41,20.0,1151.0,211.0,478.0,183.0,5.93,32878.9761158894,620056.708777837,799276.649882071,133051.728113502,71614.3141379582,4
-118.34,34.12,41.0,3257.0,679.0,1237.0,638.0,4.2415,19093.7547319338,11638.4735296065,190663.215273124,480232.22307496,548256.084813073,4
-122.33,40.47,30.0,2502.0,523.0,1296.0,481.0,2.125,148442.769366291,799775.450798639,977489.771837217,350586.321848072,299911.897090643,0
-118.29,34.03,38.0,1501.0,437.0,1777.0,441.0,2.0848,19974.3883740136,4932.11196029675,179847.160106409,490823.670658765,558839.081288913,1
-118.39,34.16,20.0,4084.0,1062.0,1637.0,987.0,3.2388,19131.2901707449,18029.6108296702,196957.088134358,473857.988018435,541880.438242366,3
-121.29,37.96,52.0,287.0,119.0,154.0,85.0,0.8738,23213.9665093761,513631.196492161,692856.347837782,87413.0779068033,102297.209485655,0
-121.8,37.31,21.0,2630.0,446.0,1789.0,389.0,5.0543,30350.4815316321,484062.575608057,662714.331777498,8700.32718568956,75892.0993301639,3
-118.13,33.97,36.0,1759.0,295.0,837.0,267.0,4.6992,24564.4022248382,13907.3040392194,165985.550231346,505515.46366099,573546.24844813,3
-118.22,33.9,30.0,1007.0,260.0,1112.0,238.0,1.7262,16249.9681938726,17068.0442515353,164387.244069725,506030.741363219,574030.116247054,1
-121.87,39.74,7.0,1737.0,290.0,747.0,265.0,3.9,164306.0040816,709745.966644156,887606.026251546,267377.923632119,223963.120780872,1
-122.42,37.93,47.0,3453.0,779.0,1353.0,728.0,4.016,4556.02879274767,571787.600608925,750571.362960404,80768.7145108258,17377.8513396404,3
-121.95,37.74,19.0,1127.0,170.0,518.0,167.0,6.3325,22239.6438399654,528673.597179409,707803.356371447,45260.198704568,42480.2000612425,3
-124.02,40.8,22.0,2588.0,435.0,1198.0,442.0,3.9792,14672.8197099035,906773.695279484,1086102.58541604,426724.486709687,363179.400542578,1
-121.82,38.01,25.0,3018.0,606.0,1614.0,568.0,3.4722,8975.1488750016,544956.577154617,724355.207071206,75278.0846653821,59718.3906140252,1
-118.39,34.17,28.0,2790.0,748.0,1351.0,697.0,3.2052,20062.3321226477,18786.4478765437,197860.952902044,473017.149681715,541041.420567452,3
-121.93,37.53,27.0,5532.0,973.0,2855.0,960.0,4.7478,13663.7399602927,509897.531428224,688749.876996433,21874.5986649947,51803.797744212,3
-119.09,36.21,43.0,1335.0,280.0,943.0,288.0,1.9861,185036.142060766,251970.67928989,426866.972245389,279255.454992916,343920.720920782,0
-120.41,34.86,15.0,978.0,187.0,407.0,182.0,4.375,20327.8657720842,217980.406308557,383360.302125956,305802.851732271,371167.75290089,2
-122.19,39.92,20.0,2563.0,658.0,1363.0,611.0,1.023,140249.606865927,740448.074853042,918686.751116881,288540.463895698,239540.323779778,0
-118.99,35.4,48.0,1908.0,331.0,789.0,321.0,3.5714,122793.478851766,164653.71458729,342726.849573153,337429.884506293,405019.787406095,0
-121.29,38.14,34.0,2770.0,544.0,1409.0,535.0,3.2338,22617.3771395617,530502.499563316,709551.436218014,103993.258785866,108022.046077675,0
-117.06,32.64,30.0,4494.0,667.0,1883.0,680.0,5.766,7318.82651322462,191695.144445896,12666.3260553157,682749.999431461,750725.971601934,2
-117.37,33.95,32.0,2215.0,351.0,771.0,311.0,4.3542,59928.525011688,81337.2760763179,138609.323431327,555529.187454338,623366.032037995,1
-121.27,37.96,43.0,948.0,221.0,749.0,208.0,1.962,24783.4553938432,512674.790431743,691879.383629548,88493.573626449,104017.143295309,0
-118.14,34.17,34.0,2384.0,604.0,2073.0,540.0,2.3062,37750.5815654813,16204.6783542028,185466.463535578,488368.881600501,556395.792434502,2
-117.24,34.06,9.0,3603.0,786.0,1782.0,718.0,3.2604,77018.7424356131,92466.7795942628,149654.767651807,555920.895085698,623577.79905656,0
-121.86,39.78,12.0,7653.0,1578.0,3628.0,1494.0,3.0905,165533.978405708,713271.540341848,891044.521152143,271833.386091201,228489.991210245,1
-119.41,36.68,18.0,1802.0,332.0,945.0,292.0,3.4044,193395.024736427,310736.11281145,486350.904403805,232206.840475906,293840.068571004,1
-121.44,38.54,44.0,2570.0,509.0,1145.0,503.0,2.5694,53238.5009205942,575287.268376913,754078.489693526,139704.102492734,121520.976962605,0
-122.3,37.53,40.0,1833.0,308.0,751.0,306.0,6.0,6880.24617011112,532237.805417089,710381.935603053,41941.5781433372,29488.3446140701,4
-120.63,35.13,16.0,2680.0,704.0,975.0,619.0,1.7878,2775.46452482616,249143.168228936,417693.054842985,270130.899496336,335226.50751001,0
-118.34,33.78,25.0,11016.0,1626.0,4168.0,1584.0,8.1782,7382.70207941294,31548.9107485865,161314.937600693,509422.033325772,577318.127544307,4
-121.89,38.02,36.0,2707.0,550.0,1827.0,545.0,3.3371,6168.58519373953,549569.357604361,728950.457789931,76115.6176569721,54811.5954324257,0
-120.04,36.74,14.0,3182.0,730.0,2298.0,721.0,1.6168,155944.638356264,340321.927645549,519020.115406758,177298.750186774,240838.815681003,0
-117.05,32.76,37.0,4879.0,906.0,2076.0,871.0,3.6625,14790.4838475318,181446.234229403,11497.0188779831,672994.397402442,741001.34059585,1
-121.93,37.71,26.0,4822.0,845.0,2288.0,805.0,4.2281,22118.1176563186,524991.615827086,704108.304971922,41772.1699271052,44649.359836804,2
-119.77,36.76,40.0,2009.0,519.0,2219.0,505.0,1.2101,177433.910982683,331332.777563488,508922.36331844,198979.540422864,261085.796019323,0
-118.37,33.87,19.0,757.0,148.0,361.0,141.0,6.02,2487.92002976954,23373.7474503252,170579.940212933,499852.588186048,567779.675038058,4
-118.16,34.17,46.0,1508.0,261.0,674.0,255.0,3.5909,36114.9998253317,15193.0959445448,186382.15105513,487120.15043003,555149.579165712,1
-121.32,38.61,22.0,3902.0,845.0,1870.0,763.0,2.774,64162.727987612,576781.113937575,755244.846581156,150357.078149022,134437.90516601,2
-118.28,33.99,37.0,1971.0,513.0,1673.0,464.0,1.4625,17975.0364263133,7687.1372745488,175715.708783012,494810.009814026,562818.021407175,0
-122.27,37.74,28.0,6909.0,1554.0,2974.0,1484.0,3.6875,4293.9067724297,547311.578884415,725991.849115692,55928.8274218683,14674.5351342319,4
-119.01,35.24,6.0,80.0,16.0,66.0,21.0,3.125,106365.993545747,149522.856652435,328386.741344091,347908.206971695,415746.763780151,0
-122.49,37.74,52.0,2302.0,457.0,1154.0,424.0,4.5744,4143.42087858254,560624.19262395,738898.145737123,69237.2596610819,6395.5169950914,4
-118.12,33.88,36.0,1083.0,218.0,557.0,210.0,3.0795,14891.7713018321,22290.9838823237,157168.254667016,513689.774677589,581708.292941371,3
-120.1,36.16,17.0,598.0,160.0,715.0,146.0,2.3295,108989.972817071,288854.409102922,468251.74830399,206404.957725231,274037.022726195,0
-120.8,38.31,37.0,1341.0,256.0,533.0,242.0,3.2135,69408.3730201537,526042.495297904,703704.302466284,144770.59450004,154789.360364966,1
-117.86,33.79,34.0,1883.0,408.0,1227.0,424.0,3.8929,20771.7622994309,45864.9365009834,135986.738680233,537012.394663819,605047.440287989,2
-118.28,34.18,52.0,2602.0,418.0,1137.0,419.0,5.3185,27582.4389561694,14594.9070770275,193094.513260282,478873.100010255,546908.14176912,4
-118.14,34.05,39.0,1880.0,367.0,954.0,349.0,3.875,31603.3744242322,9555.47007896606,173988.47929137,498239.714830773,566274.750034631,3
-122.24,38.13,37.0,3223.0,564.0,1325.0,539.0,4.0938,6963.88172382296,578256.057904541,757497.388094991,93467.2589527878,42995.1044269862,1
-117.22,32.78,22.0,2020.0,466.0,1010.0,429.0,3.4527,5565.64150932616,170408.191385458,9023.24453139157,661239.739056219,729207.847218556,2
-120.8,37.61,30.0,918.0,154.0,469.0,139.0,3.9688,80723.0947471524,457783.758116222,636724.067544731,101172.704749847,144688.543699763,2
-121.4,38.49,12.0,7290.0,1283.0,3960.0,1248.0,3.5968,49263.7321269899,568729.686197739,747519.35651299,135466.355855664,120312.906369688,0
-122.46,37.72,39.0,2254.0,,1388.0,404.0,2.9688,6563.36451609967,557190.233167425,735476.488816214,65786.7019156822,6510.45018054249,3
-119.72,36.76,23.0,6403.0,,3573.0,1260.0,2.3006,180628.147273874,329467.525722104,506800.673336754,203185.931656006,265082.868789566,0
-122.41,37.74,52.0,831.0,175.0,415.0,159.0,1.9464,1737.88788773306,555738.527182092,734168.456536276,64039.012777917,4216.0414995577,3
-118.13,33.86,45.0,1320.0,256.0,645.0,256.0,4.4,12508.1551972063,23808.7102939099,155882.585620507,514785.142893598,582797.236016017,3
-119.83,36.78,30.0,3162.0,640.0,1660.0,639.0,2.8359,174428.364941197,335638.969819755,513452.221328534,193200.352007276,255310.057535274,0
-118.09,33.91,34.0,1582.0,343.0,1356.0,324.0,3.4211,18919.8325336316,21235.3306940962,158382.315723762,512969.496850173,580997.702970992,1
-121.75,36.92,46.0,1362.0,321.0,1068.0,305.0,2.4615,9196.27248813579,449895.508386704,627545.274737932,47907.7848288096,112444.339702221,2
-117.38,33.2,17.0,1877.0,581.0,1288.0,426.0,1.9386,12487.0964769866,123994.720894639,57591.1136311042,615725.465168078,683750.662818448,0
-122.37,41.41,28.0,1729.0,419.0,929.0,370.0,1.27,141702.928159108,894716.701494042,1071015.84284492,454914.895702674,404341.94703815,0
-122.12,37.91,34.0,5683.0,755.0,1962.0,723.0,8.3678,15795.1272791069,552748.420523993,731888.234627811,66938.112383855,31241.0941960562,4
-118.22,34.07,36.0,839.0,250.0,1079.0,245.0,1.7463,27011.2801814625,2943.07156873053,179832.827450098,491686.545135574,559718.783012885,2
-119.55,37.75,30.0,2165.0,536.0,1500.0,414.0,3.5391,176616.768634024,427661.875359755,600298.922621042,211649.548059309,253288.533116319,0
-117.11,32.75,46.0,695.0,182.0,601.0,195.0,2.4219,9761.17596056284,179002.012707612,6111.49659185151,670297.133342222,738288.303556993,0
-118.73,34.27,25.0,3409.0,493.0,1699.0,484.0,5.653,28782.6038417269,50877.4364487522,225903.026675419,444411.054449318,512354.32829694,3
-121.32,38.62,33.0,898.0,190.0,470.0,201.0,2.6897,65230.873316669,577749.549609275,756197.588692693,151404.459207842,135204.357628796,1
-119.07,35.27,25.0,3081.0,635.0,1830.0,591.0,2.5804,106620.303730606,155070.44079088,334105.689010401,341648.162888534,409504.336307219,0
-117.66,33.61,17.0,3464.0,519.0,1713.0,530.0,6.0471,14319.2280703102,72970.723581879,109747.243184709,564263.420891711,632298.528565258,3
-117.38,33.2,26.0,1427.0,386.0,974.0,317.0,1.3903,12487.0964769866,123994.720894639,57591.1136311042,615725.465168078,683750.662818448,2
-118.46,33.99,44.0,1122.0,287.0,531.0,256.0,4.0598,5235.26535965626,21103.0852819186,186091.580783967,484247.184290748,552187.827797225,4
-115.5,32.75,13.0,330.0,72.0,822.0,64.0,3.4107,12837.9434681286,292962.488633419,155418.626506403,773401.270017764,841021.998573227,1
-117.91,33.81,18.0,1181.0,353.0,781.0,340.0,2.5625,18542.384000119,40905.3547596406,140190.648468929,532284.401866338,600318.688348807,1
-121.23,37.95,32.0,2081.0,472.0,1342.0,411.0,2.7958,28431.4872992047,509839.317640319,689008.923736012,89872.7476938718,107259.024313534,0
-119.23,34.25,28.0,26.0,3.0,29.0,9.0,8.0,3559.2054603213,93386.9229307075,256739.369595482,418763.272658672,486188.571370093,3
-116.9,33.74,14.0,2281.0,426.0,894.0,430.0,2.3712,72180.3799592491,128785.315869929,116453.094221863,603104.38083304,670814.204437024,1
-122.19,37.79,47.0,1229.0,243.0,582.0,256.0,2.9514,7040.56958247757,546706.976181537,725599.174223505,56916.5312568741,21280.5757359485,2
-118.36,33.96,37.0,2146.0,573.0,2009.0,592.0,3.6583,11710.6921050546,14837.3034013224,177610.844835396,492651.443564026,560623.516384459,2
-122.68,38.46,17.0,3201.0,527.0,1244.0,495.0,4.7143,33581.3620800532,631046.48993879,810210.71257923,142839.251461595,79324.8505955561,2
